chr	pos	pr_1_BFL	pr_1_HCC	pr_1_KPC	pr_1_LBJ	pr_6_BFL	pr_6_HCC	pr_6_KPC	pr_6_LBJ	reads_1_BFL	reads_1_HCC	reads_1_KPC	reads_1_LBJ	reads_6_BFL	reads_6_HCC	reads_6_KPC	reads_6_LBJ
Ha412HOChr01	2000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.1590909090909091	0.02	0.1323529411764706	0.1	180	180	180	180	44	50	68	60
Ha412HOChr01	3000000	0.24867724867724866	0.24867724867724866	0.24867724867724866	0.24867724867724866	0.14634146341463414	0.05263157894736842	0.14285714285714285	0.20588235294117646	189	189	189	189	41	38	70	34
Ha412HOChr01	4000000	0.24338624338624337	0.24338624338624337	0.24338624338624337	0.24338624338624337	0.12727272727272726	0.022727272727272728	0.16176470588235295	0.2	189	189	189	189	55	44	68	40
Ha412HOChr01	5000000	0.25	0.25	0.25	0.25	0.16666666666666666	0.023809523809523808	0.16176470588235295	0.16279069767441862	180	180	180	180	48	42	68	43
Ha412HOChr01	6000000	0.23728813559322035	0.23728813559322035	0.23728813559322035	0.23728813559322035	0.14634146341463414	0.03125	0.12903225806451613	0.21739130434782608	177	177	177	177	41	32	62	23
Ha412HOChr01	7000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.11290322580645161	0.011764705882352941	0.136986301369863	0.1111111111111111	180	180	180	180	62	85	73	54
Ha412HOChr01	8000000	0.25842696629213485	0.25842696629213485	0.25842696629213485	0.25842696629213485	0.11475409836065574	0.02127659574468085	0.14285714285714285	0.09836065573770492	178	178	178	178	61	47	63	61
Ha412HOChr01	9000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.14	0.023809523809523808	0.13043478260869565	0.17142857142857143	180	180	180	180	50	42	69	35
Ha412HOChr01	10000000	0.2541436464088398	0.2541436464088398	0.2541436464088398	0.2541436464088398	0.17073170731707318	0.023809523809523808	0.13043478260869565	0.21428571428571427	181	181	181	181	41	42	69	28
Ha412HOChr01	11000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.022222222222222223	0.13043478260869565	0.2222222222222222	180	180	180	180	40	45	69	27
Ha412HOChr01	12000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.15217391304347827	0.022222222222222223	0.13636363636363635	0.17647058823529413	180	180	180	180	46	45	66	34
Ha412HOChr01	13000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.15555555555555556	0.02631578947368421	0.14285714285714285	0.17647058823529413	180	180	180	180	45	38	63	34
Ha412HOChr01	14000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.09859154929577464	0.017543859649122806	0.14285714285714285	0.08	180	180	180	180	71	57	63	75
Ha412HOChr01	15000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.09859154929577464	0.017543859649122806	0.14285714285714285	0.08	180	180	180	180	71	57	63	75
Ha412HOChr01	16000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.09859154929577464	0.017543859649122806	0.14285714285714285	0.08	180	180	180	180	71	57	63	75
Ha412HOChr01	17000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.025	0.14516129032258066	0.1935483870967742	180	180	180	180	41	40	62	31
Ha412HOChr01	18000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.025	0.14516129032258066	0.1935483870967742	180	180	180	180	41	40	62	31
Ha412HOChr01	19000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.024390243902439025	0.14516129032258066	0.1935483870967742	180	180	180	180	41	41	62	31
Ha412HOChr01	20000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.024390243902439025	0.14516129032258066	0.1935483870967742	180	180	180	180	41	41	62	31
Ha412HOChr01	21000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.024390243902439025	0.14516129032258066	0.1935483870967742	180	180	180	180	41	41	62	31
Ha412HOChr01	22000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13953488372093023	180	180	180	180	40	53	65	43
Ha412HOChr01	23000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13953488372093023	180	180	180	180	40	53	65	43
Ha412HOChr01	24000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13953488372093023	180	180	180	180	40	53	65	43
Ha412HOChr01	25000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13953488372093023	180	180	180	180	40	53	65	43
Ha412HOChr01	26000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13953488372093023	180	180	180	180	40	53	65	43
Ha412HOChr01	27000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13636363636363635	180	180	180	180	40	53	65	44
Ha412HOChr01	28000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13636363636363635	180	180	180	180	40	53	65	44
Ha412HOChr01	29000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.018867924528301886	0.13846153846153847	0.13636363636363635	180	180	180	180	40	53	65	44
Ha412HOChr01	30000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.023255813953488372	0.13846153846153847	0.2	180	180	180	180	40	43	65	30
Ha412HOChr01	31000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0	0.125	0.1724137931034483	180	180	180	180	40	43	64	29
Ha412HOChr01	32000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0	0.11764705882352941	0.19230769230769232	180	180	180	180	40	41	68	26
Ha412HOChr01	33000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.023809523809523808	0.13043478260869565	0.2222222222222222	180	180	180	180	40	42	69	27
Ha412HOChr01	34000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.024390243902439025	0.13043478260869565	0.1935483870967742	180	180	180	180	40	41	69	31
Ha412HOChr01	35000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.16666666666666666	0.015151515151515152	0.13043478260869565	0.14634146341463414	180	180	180	180	42	66	69	41
Ha412HOChr01	36000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.016666666666666666	0.13043478260869565	0.16216216216216217	180	180	180	180	40	60	69	37
Ha412HOChr01	37000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.14583333333333334	0.018518518518518517	0.13043478260869565	0.13953488372093023	180	180	180	180	48	54	69	43
Ha412HOChr01	38000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.14583333333333334	0.019230769230769232	0.13846153846153847	0.14634146341463414	180	180	180	180	48	52	65	41
Ha412HOChr01	39000000	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.14583333333333334	0.019230769230769232	0.13846153846153847	0.14634146341463414	179	179	179	179	48	52	65	41
Ha412HOChr01	40000000	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.14583333333333334	0.019230769230769232	0.13846153846153847	0.14634146341463414	179	179	179	179	48	52	65	41
Ha412HOChr01	41000000	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.13725490196078433	0.02040816326530612	0.13846153846153847	0.11320754716981132	179	179	179	179	51	49	65	53
Ha412HOChr01	42000000	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.25139664804469275	0.13725490196078433	0.02040816326530612	0.13846153846153847	0.11764705882352941	179	179	179	179	51	49	65	51
Ha412HOChr01	43000000	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.14285714285714285	0.02040816326530612	0.13846153846153847	0.1320754716981132	166	166	166	166	49	49	65	53
Ha412HOChr01	44000000	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.17073170731707318	0.023255813953488372	0.13846153846153847	0.21212121212121213	166	166	166	166	41	43	65	33
Ha412HOChr01	45000000	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.1927710843373494	0.17073170731707318	0.014285714285714285	0.12857142857142856	0.12727272727272726	166	166	166	166	41	70	70	55
Ha412HOChr01	46000000	0.19760479041916168	0.19760479041916168	0.19760479041916168	0.19760479041916168	0.17073170731707318	0.014285714285714285	0.12857142857142856	0.1111111111111111	167	167	167	167	41	70	70	54
Ha412HOChr01	47000000	0.19760479041916168	0.19760479041916168	0.19760479041916168	0.19760479041916168	0.17073170731707318	0.014285714285714285	0.12857142857142856	0.1111111111111111	167	167	167	167	41	70	70	54
Ha412HOChr01	48000000	0.20238095238095238	0.20238095238095238	0.20238095238095238	0.20238095238095238	0.19047619047619047	0.014285714285714285	0.12857142857142856	0.1111111111111111	168	168	168	168	42	70	70	54
Ha412HOChr01	49000000	0.20710059171597633	0.20710059171597633	0.20710059171597633	0.20710059171597633	0.19047619047619047	0.014285714285714285	0.12857142857142856	0.12727272727272726	169	169	169	169	42	70	70	55
Ha412HOChr01	50000000	0.20710059171597633	0.20710059171597633	0.20710059171597633	0.20710059171597633	0.19047619047619047	0.014285714285714285	0.12857142857142856	0.14	169	169	169	169	42	70	70	50
Ha412HOChr01	51000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.024390243902439025	0.13636363636363635	0.21428571428571427	180	180	180	180	40	41	66	28
Ha412HOChr01	52000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.175	0.025	0.13846153846153847	0.23076923076923078	180	180	180	180	40	40	65	26
Ha412HOChr01	53000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.025	0.13043478260869565	0.17647058823529413	180	180	180	180	41	40	69	34
Ha412HOChr01	54000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.01694915254237288	0.13636363636363635	0.16216216216216217	180	180	180	180	41	59	66	37
Ha412HOChr01	55000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.01694915254237288	0.13636363636363635	0.16216216216216217	180	180	180	180	41	59	66	37
Ha412HOChr01	56000000	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.25555555555555554	0.17073170731707318	0.01694915254237288	0.140625	0.16216216216216217	180	180	180	180	41	59	64	37
